Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,-0.0088989,-1.3208E-07,0.16344,0,0,0,123.52,1.6862,1.545E-07,-5.5846E-05,1.1047,1.791E-06,0.89583,0,0,0,0,0,0,package://gh1/meshes/body.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://gh1/meshes/body.STL,,2-2,坐标系2,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Left_hip_roll_Link,0.052165,5.0264E-06,-0.0083836,0,0,0,3.8235,0.0033964,-8.4167E-07,7.7293E-05,0.0030826,6.9531E-08,0.0051879,0,0,0,0,0,0,package://gh1/meshes/Left_hip_roll_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://gh1/meshes/Left_hip_roll_Link.STL,,5-2,坐标系1,基准轴1,Left_hip_roll_Joint,revolute,-0.054,0.135,-0.17,0,0,0,body,-1,0,0,50,20,-3.14,-3.14,,,,,,,,
Left_hip_yaw_Link,-3.1213E-06,-0.05153,-0.072845,0,0,0,6.7642,0.010476,-2.589E-08,3.2644E-06,0.015391,-0.0012055,0.0086185,0,0,0,0,0,0,package://gh1/meshes/Left_hip_yaw_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://gh1/meshes/Left_hip_yaw_Link.STL,,11-2,坐标系6,基准轴5,Left_hip_yaw_Joint,revolute,0.07,0,-0.03,0,0,0,Left_hip_roll_Link,0,0,1,50,20,-3.14,3.14,,,,,,,,
Left_hip_pitch_Link,0.01638,0.034971,-0.15945,0,0,0,33.931,0.49131,-0.00037862,0.031514,0.52963,0.0036852,0.060423,0,0,0,0,0,0,package://gh1/meshes/Left_hip_pitch_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://gh1/meshes/Left_hip_pitch_Link.STL,,12-2,坐标系10,基准轴9,Left_hip_pitch_Joint,revolute,0,-0.0295,-0.087,0,0,0,Left_hip_yaw_Link,0,-1,0,50,20,-3.14,3.14,,,,,,,,
Left_knee_Link,-0.0017679,-0.005401,-0.15125,0,0,0,7.7671,0.095227,8.8977E-06,-0.0015087,0.098977,-0.0002576,0.0046432,0,0,0,0,0,0,package://gh1/meshes/Left_knee_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://gh1/meshes/Left_knee_Link.STL,,17-2,坐标系14,基准轴13,Left_knee_Joint,revolute,0.025372,0.0295,-0.41923,0,0,0,Left_hip_pitch_Link,0,-1,0,50,20,-3.14,3.14,,,,,,,,
Left_ankle_pitch_Link,0.015007,5.5511E-17,-0.034161,0,0,0,0.38818,0.00024191,4.7254E-20,6.7735E-05,0.0015331,-1.2705E-20,0.0016128,0,0,0,0,0,0,package://gh1/meshes/Left_ankle_pitch_Link.STL,1,1,1,1,0,0,0,0,0,0,package://gh1/meshes/Left_ankle_pitch_Link.STL,,18-2,坐标系16,基准轴15,Left_ankle_pitch_Joint,revolute,-0.012762,0,-0.3998,0,0,0,Left_knee_Link,0,-1,0,50,20,-3.14,3.14,,,,,,,,
Right_hip_roll_Link,0.051787,4.9935E-05,-0.0078632,0,0,0,3.7336,0.0033514,2.1818E-07,7.7728E-05,0.0030497,4.1278E-07,0.005111,0,0,0,0,0,0,package://gh1/meshes/Right_hip_roll_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://gh1/meshes/Right_hip_roll_Link.STL,,10-2,坐标系3,基准轴2,Right_hip_roll_Joint,revolute,-0.054,-0.135,-0.17,0,0,0,body,-1,0,0,50,20,-3.14,3.14,,,,,,,,
Right_hip_yaw_Link,-5.8987E-06,0.051084,-0.073371,0,0,0,6.9007,0.010615,5.2209E-08,2.3171E-06,0.015657,0.0012055,0.0087469,0,0,0,0,0,0,package://gh1/meshes/Right_hip_yaw_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://gh1/meshes/Right_hip_yaw_Link.STL,,6-2,坐标系7,基准轴6,Right_hip_yaw_Joint,revolute,0.07,0,-0.02975,0,0,0,Right_hip_roll_Link,0,0,-1,50,20,-3.14,3.14,,,,,,,,
Right_hip_pitch_Link,0.015706,-0.03447,-0.15952,0,0,0,33.93,0.49156,0.00036304,0.029708,0.52963,-0.0036869,0.060165,0,0,0,0,0,0,package://gh1/meshes/Right_hip_pitch_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://gh1/meshes/Right_hip_pitch_Link.STL,,13-2,坐标系11,基准轴10,Right_hip_pitch_Joint,revolute,0,0.029,-0.08725,0,0,0,Right_hip_yaw_Link,0,1,0,0,0,-3.14,0,,,,,,,,
Right_knee_Link,-0.00099117,0.0042483,-0.15105,0,0,0,7.7671,0.095252,-1.0707E-05,-0.0010377,0.098988,0.00025675,0.0046277,0,0,0,0,0,0,package://gh1/meshes/Right_knee_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://gh1/meshes/Right_knee_Link.STL,,7-2,坐标系15,基准轴14,Right_knee_Joint,revolute,0.023604,-0.029,-0.41934,0,0,0,Right_hip_pitch_Link,0,-1,0,0,0,-3.14,0,,,,,,,,
Right_ankle_pitch_Link,0.015007,-4.1616E-15,-0.034161,0,0,0,0.38818,0.00024191,-1.9066E-19,6.7735E-05,0.0015331,-1.3234E-20,0.0016128,0,0,0,0,0,0,package://gh1/meshes/Right_ankle_pitch_Link.STL,1,1,1,1,0,0,0,0,0,0,package://gh1/meshes/Right_ankle_pitch_Link.STL,,8-2,坐标系17,基准轴16,Right_ankle_pitch_Joint,revolute,-0.010661,0,-0.39986,0,0,0,Right_knee_Link,0,-1,0,0,0,-3.14,0,,,,,,,,
Left_shoulder_pitch_Link,0.0021111,0.058287,7.4495E-05,0,0,0,2.3981,0.0036404,-1.2323E-07,-4.1293E-07,0.0017935,1.7725E-06,0.0022023,0,0,0,0,0,0,package://gh1/meshes/Left_shoulder_pitch_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://gh1/meshes/Left_shoulder_pitch_Link.STL,,15-2,坐标系4,基准轴3,Left_shoulder_pitch_Joint,revolute,0,0.155,0.275,0,0,0,body,0,1,0,0,0,-3.14,0,,,,,,,,
Left_shoulder_roll_Link,-0.016456,-2.2787E-05,-0.046307,0,0,0,3.8443,0.0045757,-2.5873E-06,3.7349E-07,0.0045261,-2.1496E-07,0.0044269,0,0,0,0,0,0,package://gh1/meshes/Left_shoulder_roll_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://gh1/meshes/Left_shoulder_roll_Link.STL,,4-2,坐标系8,基准轴7,Left_shoulder_roll_Joint,revolute,0.0165,0.0625,0,0,0,0,Left_shoulder_pitch_Link,1,0,0,0,0,-3.14,0,,,,,,,,
Left_shoulder_yaw_Link,-5.7035E-05,-0.00091634,-0.13346,0,0,0,3.172,0.0068554,-4.0763E-07,1.7853E-06,0.0077293,-1.3975E-07,0.0016253,0,0,0,0,0,0,package://gh1/meshes/Left_shoulder_yaw_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://gh1/meshes/Left_shoulder_yaw_Link.STL,,16-2,坐标系12,基准轴11,Left_shoulder_yaw_Joint,revolute,-0.0165,0,-0.0965,0,0,0,Left_shoulder_roll_Link,0,0,1,0,0,-3.14,0,,,,,,,,
Left_elbow_pitch_Link,0.13853,0.015001,2.9055E-08,0,0,0,0.88449,0.00056951,-6.3677E-08,-2.8529E-09,0.0077194,-2.6888E-10,0.0077768,0,0,0,0,0,0,package://gh1/meshes/Left_elbow_pitch_Link.STL,1,1,1,1,0,0,0,0,0,0,package://gh1/meshes/Left_elbow_pitch_Link.STL,,9-2,坐标系18,基准轴17,Left_elbow_pitch_Joint,revolute,0,-0.015,-0.182,0,0,0,Left_shoulder_yaw_Link,0,1,0,0,0,0,0,,,,,,,,
Right_shoulder_pitch_Link,0.0021111,-0.05828,7.6437E-05,0,0,0,2.3981,0.0036404,1.2004E-07,-4.1386E-07,0.0017933,-1.539E-06,0.0022024,0,0,0,0,0,0,package://gh1/meshes/Right_shoulder_pitch_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://gh1/meshes/Right_shoulder_pitch_Link.STL,,1-2,坐标系5,基准轴4,Right_shoulder_pitch_Joint,revolute,0,-0.155,0.275,0,0,0,body,0,1,0,0,0,0,0,,,,,,,,
Right_shoulder_roll_Link,-0.016543,2.4614E-05,-0.046307,0,0,0,3.8443,0.0045755,-2.7168E-06,-3.6402E-07,0.0045264,2.3062E-07,0.0044269,0,0,0,0,0,0,package://gh1/meshes/Right_shoulder_roll_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://gh1/meshes/Right_shoulder_roll_Link.STL,,14-2,坐标系9,基准轴8,Right_shoulder_roll_Joint,revolute,0.0165,-0.0625,0,0,0,0,Right_shoulder_pitch_Link,-1,0,0,0,0,0,0,,,,,,,,
Right_shoulder_yaw_Link,3.2291E-05,0.00091635,-0.13399,0,0,0,3.172,0.0068516,-2.1917E-07,-2.7345E-06,0.0077293,3.7103E-07,0.0016291,0,0,0,0,0,0,package://gh1/meshes/Right_shoulder_yaw_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://gh1/meshes/Right_shoulder_yaw_Link.STL,,3-2,坐标系13,基准轴12,Right_shoulder_yaw_Joint,revolute,-0.0165,0,-0.0965,0,0,0,Right_shoulder_roll_Link,0,0,1,0,0,0,0,,,,,,,,
Right_elbow_pitch_Link,0.13853,-0.015001,-2.9055E-08,0,0,0,0.88449,0.00056951,6.3677E-08,2.8529E-09,0.0077194,-2.6888E-10,0.0077768,0,0,0,0,0,0,package://gh1/meshes/Right_elbow_pitch_Link.STL,1,1,1,1,0,0,0,0,0,0,package://gh1/meshes/Right_elbow_pitch_Link.STL,,19-2,坐标系19,基准轴18,Right_elbow_pitch_Joint,revolute,0,0.015,-0.1825,0,0,0,Right_shoulder_yaw_Link,0,-1,0,0,0,0,0,,,,,,,,
